_id,date,person,website,flat_link,profile_type,delta,delta_bin,duplicate,count,first,stage
ObjectID(584589fa51d6dab829bba963),2016-09-17T17:26:13.000Z,"madameowicz@gmail.com","immowelt","www.immowelt.de/expose/2BY6Z49","normal",25.63,25,false,1,,0
ObjectID(58458a0051d6dab829bba979),2016-09-18T06:33:17.000Z,"madameowicz@gmail.com","immowelt","www.immowelt.de/expose/2BE5Y49","normal",14310.13,180,false,1,,0
ObjectID(58458a0751d6dab829bba999),2016-09-18T06:58:03.000Z,"vittilauro@gmail.com","immowelt","www.immowelt.de/expose/2BE5Y49","normal",24.77,20,false,1,,0
ObjectID(58458a1051d6dab829bba9bd),2016-09-18T07:22:51.000Z,"hanna.c.berg@gmail.com","immowelt","www.immowelt.de/expose/2BE5Y49","normal",24.8,20,false,1,,0
ObjectID(58458aa151d6dab829bbabed),2016-09-20T06:34:05.000Z,"aylindemirci132@gmail.com","immowelt","www.immowelt.de/expose/2BYTJ4E","normal",,,false,1,,4
ObjectID(58458ab251d6dab829bbac2d),2016-09-20T07:02:08.000Z,"nina.c.weiss@gmail.com","immowelt","www.immowelt.de/expose/2BYTJ4E","normal",28.05,25,false,1,,4
ObjectID(58458ac051d6dab829bbac65),2016-09-20T07:30:04.000Z,"madameowicz@gmail.com","immowelt","www.immowelt.de/expose/2BYTJ4E","normal",27.93,25,false,1,,4
ObjectID(58458ac651d6dab829bbac77),2016-09-20T16:31:38.000Z,"vittilauro@gmail.com","immowelt","www.immowelt.de/expose/2BJNY4E","normal",,,false,1,,4
ObjectID(58458ad151d6dab829bbaca5),2016-09-20T16:34:28.000Z,"ismailbhamed@gmail.com","immowelt","www.immowelt.de/expose/2B4HN4C","normal",8617.57,180,false,1,,0
ObjectID(58458ad951d6dab829bbacc7),2016-09-20T17:02:22.000Z,"hanna.c.berg@gmail.com","immowelt","www.immowelt.de/expose/2BJNY4E","normal",30.73,30,false,1,,4
ObjectID(58458aea51d6dab829bbad0d),2016-09-20T17:31:24.000Z,"ma03592@gmail.com","immowelt","www.immowelt.de/expose/2BJNY4E","normal",29.03,25,false,1,,4
ObjectID(58458afe51d6dab829bbad63),2016-09-21T16:33:44.000Z,"vittilauro@gmail.com","immowelt","www.immowelt.de/expose/2BVRT4E","normal",1381.78,180,true,,,0
ObjectID(58458aff51d6dab829bbad65),2016-09-21T16:33:47.000Z,"janowski.miko@gmail.com","immowelt","www.immowelt.de/expose/2BXKQ4E","normal",1984.67,180,false,1,,0
ObjectID(58458b0051d6dab829bbad67),2016-09-21T16:33:53.000Z,"ma03592@gmail.com","immowelt","www.immowelt.de/expose/2BV644E","normal",4870.5,180,false,1,,0
ObjectID(58458b0051d6dab829bbad69),2016-09-21T16:33:54.000Z,"janowski.miko@gmail.com","immowelt","www.immowelt.de/expose/2BEJD4E","normal",2823.07,180,true,,,0
ObjectID(58458b0651d6dab829bbad83),2016-09-21T16:35:04.000Z,"hanna.c.berg@gmail.com","immowelt","www.immowelt.de/expose/2BQW94E","normal",2827.52,180,false,1,,0
ObjectID(58458b0651d6dab829bbad87),2016-09-21T16:35:11.000Z,"ismailbhamed@gmail.com","immowelt","www.immowelt.de/expose/27AGU42","normal",1987.52,180,false,1,,0
ObjectID(58458b0951d6dab829bbad91),2016-09-21T16:35:38.000Z,"stephanbraun19@gmail.com","immowelt","www.immowelt.de/expose/2BM7J4E","normal",1988.25,180,false,1,,0
ObjectID(58458b1351d6dab829bbadbd),2016-09-21T16:48:19.000Z,"ma03592@gmail.com","immowelt","www.immowelt.de/expose/2BVRT4E","normal",14.58,10,false,1,,0
ObjectID(58458b1351d6dab829bbadbf),2016-09-21T16:48:21.000Z,"stephanbraun19@gmail.com","immowelt","www.immowelt.de/expose/2BXKQ4E","normal",14.57,10,false,1,,0
ObjectID(58458b1451d6dab829bbadc1),2016-09-21T16:48:30.000Z,"nina.c.weiss@gmail.com","immowelt","www.immowelt.de/expose/2BV644E","normal",14.62,10,false,1,,0
ObjectID(58458b1451d6dab829bbadc3),2016-09-21T16:48:32.000Z,"stephanbraun19@gmail.com","immowelt","www.immowelt.de/expose/2BEJD4E","normal",14.63,10,false,1,,0
ObjectID(58458b1e51d6dab829bbadeb),2016-09-22T06:34:24.000Z,"stef.loguercio@gmail.com","immowelt","www.immowelt.de/expose/2BK6K4F","normal",,,false,1,,4
ObjectID(58458b2d51d6dab829bbae2b),2016-09-22T06:49:00.000Z,"janowski.miko@gmail.com","immowelt","www.immowelt.de/expose/2BK6K4F","normal",14.6,10,false,1,,4
ObjectID(58458b3e51d6dab829bbae71),2016-09-22T07:28:25.000Z,"danielbuschle2@gmail.com","immowelt","www.immowelt.de/expose/2BK6K4F","normal",39.42,35,false,1,,4
ObjectID(58458b7951d6dab829bbaf6b),2016-09-23T06:32:36.000Z,"vittilauro@gmail.com","immowelt","www.immowelt.de/expose/2BM844G","normal",,,false,1,,4
ObjectID(58458b8b51d6dab829bbafb3),2016-09-23T06:59:46.000Z,"ma03592@gmail.com","immowelt","www.immowelt.de/expose/2BM844G","normal",27.17,25,false,1,,4
ObjectID(58458b9e51d6dab829bbaffb),2016-09-23T07:26:40.000Z,"nina.c.weiss@gmail.com","immowelt","www.immowelt.de/expose/2BM844G","normal",26.9,25,false,1,,4
ObjectID(58458ba951d6dab829bbb027),2016-09-23T16:31:28.000Z,"danielbuschle2@gmail.com","immowelt","www.immowelt.de/expose/2BUYD4G","normal",,,false,1,,4
ObjectID(58458ba951d6dab829bbb029),2016-09-23T16:31:29.000Z,"janowski.miko@gmail.com","immowelt","www.immowelt.de/expose/2BRXD4G","normal",,,false,1,,4
ObjectID(58458bad51d6dab829bbb033),2016-09-23T16:32:08.000Z,"madameowicz@gmail.com","immowelt","www.immowelt.de/expose/2BCRD4G","normal",,,false,1,,4
ObjectID(58458bad51d6dab829bbb035),2016-09-23T16:32:13.000Z,"hanna.c.berg@gmail.com","immowelt","www.immowelt.de/expose/2BMTD4G","normal",,,false,1,,4
ObjectID(58458bb951d6dab829bbb063),2016-09-23T16:34:18.000Z,"ismailbhamed@gmail.com","immowelt","www.immowelt.de/expose/2AUNF4Z","normal",8588.200000000001,180,false,1,,0
ObjectID(58458bbf51d6dab829bbb07b),2016-09-23T16:57:47.000Z,"ismailbhamed@gmail.com","immowelt","www.immowelt.de/expose/2BRXD4G","normal",26.3,25,false,1,,4
ObjectID(58458bc051d6dab829bbb07d),2016-09-23T16:57:47.000Z,"ismailbhamed@gmail.com","immowelt","www.immowelt.de/expose/2BUYD4G","normal",26.32,25,false,1,,4
ObjectID(58458bc351d6dab829bbb085),2016-09-23T16:58:29.000Z,"ma03592@gmail.com","immowelt","www.immowelt.de/expose/2BMTD4G","normal",26.27,25,false,1,,4
ObjectID(58458bc451d6dab829bbb087),2016-09-23T16:58:30.000Z,"vittilauro@gmail.com","immowelt","www.immowelt.de/expose/2BCRD4G","normal",26.37,25,false,1,,4
ObjectID(58458bcf51d6dab829bbb0b5),2016-09-23T17:00:37.000Z,"stephanbraun19@gmail.com","immowelt","www.immowelt.de/expose/2AUNF4Z","normal",26.32,25,false,1,,0
ObjectID(58458bd451d6dab829bbb0cb),2016-09-23T17:24:04.000Z,"stephanbraun19@gmail.com","immowelt","www.immowelt.de/expose/2BRXD4G","normal",26.28,25,false,1,,4
ObjectID(58458bd551d6dab829bbb0cf),2016-09-23T17:24:05.000Z,"hamit.k.yilmaz@gmail.com","immowelt","www.immowelt.de/expose/2BUYD4G","normal",26.3,25,false,1,,4
ObjectID(58458bd751d6dab829bbb0d7),2016-09-23T17:24:46.000Z,"hanna.c.berg@gmail.com","immowelt","www.immowelt.de/expose/2BCRD4G","normal",26.27,25,false,1,,4
ObjectID(58458bd751d6dab829bbb0d9),2016-09-23T17:24:48.000Z,"madameowicz@gmail.com","immowelt","www.immowelt.de/expose/2BMTD4G","normal",26.32,25,false,1,,4
ObjectID(58458be151d6dab829bbb107),2016-09-23T17:26:50.000Z,"stef.loguercio@gmail.com","immowelt","www.immowelt.de/expose/2AUNF4Z","normal",26.22,25,false,1,,0
ObjectID(58458c1851d6dab829bbb1eb),2016-09-24T16:33:10.000Z,"stephanbraun19@gmail.com","immowelt","www.immowelt.de/expose/2B83T4G","normal",,,false,1,,4
ObjectID(58458c2351d6dab829bbb221),2016-09-24T16:58:10.000Z,"hamit.k.yilmaz@gmail.com","immowelt","www.immowelt.de/expose/2B83T4G","normal",25,25,false,1,,4
ObjectID(58458c2f51d6dab829bbb255),2016-09-24T17:23:14.000Z,"stef.loguercio@gmail.com","immowelt","www.immowelt.de/expose/2B83T4G","normal",25.07,25,false,1,,4
ObjectID(58458c3351d6dab829bbb269),2016-09-25T06:33:20.000Z,"ma03592@gmail.com","immowelt","www.immowelt.de/expose/2BALV4G","normal",,,false,1,,4
ObjectID(58458c3751d6dab829bbb279),2016-09-25T06:59:29.000Z,"aylindemirci132@gmail.com","immowelt","www.immowelt.de/expose/2BALV4G","normal",26.15,25,false,1,,4
ObjectID(58458c3a51d6dab829bbb287),2016-09-25T07:25:32.000Z,"hanna.c.berg@gmail.com","immowelt","www.immowelt.de/expose/2BALV4G","normal",26.05,25,false,1,,4
ObjectID(58458c5c51d6dab829bbb317),2016-09-26T06:31:53.000Z,"nina.c.weiss@gmail.com","immowelt","www.immowelt.de/expose/2BL9Y4G","normal",,,false,1,,4
ObjectID(58458c6051d6dab829bbb325),2016-09-26T06:57:58.000Z,"aylindemirci132@gmail.com","immowelt","www.immowelt.de/expose/2BL9Y4G","normal",26.08,25,false,1,,4
ObjectID(58458c6351d6dab829bbb333),2016-09-26T07:24:12.000Z,"ma03592@gmail.com","immowelt","www.immowelt.de/expose/2BL9Y4G","normal",26.23,25,false,1,,4
ObjectID(58458ca151d6dab829bbb441),2016-09-27T06:34:07.000Z,"danielbuschle2@gmail.com","immowelt","www.immowelt.de/expose/2BLK84H","normal",,,false,1,,4
ObjectID(58458cae51d6dab829bbb47d),2016-09-27T06:59:49.000Z,"ismailbhamed@gmail.com","immowelt","www.immowelt.de/expose/2BLK84H","normal",25.7,25,false,1,,4
ObjectID(58458cbc51d6dab829bbb4b9),2016-09-27T07:25:13.000Z,"janowski.miko@gmail.com","immowelt","www.immowelt.de/expose/2BLK84H","normal",25.4,25,false,1,,4
ObjectID(58458d7f51d6dab829bbb7db),2016-09-30T16:33:59.000Z,"aylindemirci132@gmail.com","immowelt","www.immowelt.de/expose/2B2S64K","normal",,,false,1,,4
ObjectID(58458d8051d6dab829bbb7df),2016-09-30T16:34:08.000Z,"ma03592@gmail.com","immowelt","www.immowelt.de/expose/2BNN64K","normal",,,false,1,,4
ObjectID(58458d9151d6dab829bbb829),2016-09-30T16:59:39.000Z,"nina.c.weiss@gmail.com","immowelt","www.immowelt.de/expose/2B2S64K","normal",25.67,25,false,1,,4
ObjectID(58458d9351d6dab829bbb82d),2016-09-30T16:59:49.000Z,"nina.c.weiss@gmail.com","immowelt","www.immowelt.de/expose/2BNN64K","normal",25.68,25,false,1,,4
ObjectID(58458da651d6dab829bbb875),2016-09-30T17:25:16.000Z,"vittilauro@gmail.com","immowelt","www.immowelt.de/expose/2B2S64K","normal",25.62,25,false,1,,4
ObjectID(58458da751d6dab829bbb879),2016-09-30T17:25:28.000Z,"aylindemirci132@gmail.com","immowelt","www.immowelt.de/expose/2BNN64K","normal",25.65,25,false,1,,4
ObjectID(58458ebe51d6dab829bbbced),2016-10-07T16:33:09.000Z,"nina.c.weiss@gmail.com","immowelt","www.immowelt.de/expose/2BDUL4M","normal",,,false,1,,4
ObjectID(58458ec451d6dab829bbbd05),2016-10-07T16:34:27.000Z,"ismailbhamed@gmail.com","immowelt","www.immowelt.de/expose/2BYZL4M","normal",,,false,1,,4
ObjectID(58458ecc51d6dab829bbbd27),2016-10-07T16:36:02.000Z,"loviskuhn@gmail.com","immowelt","www.immowelt.de/expose/2BYZL4M","extreme",,,false,1,,4
ObjectID(58458ed151d6dab829bbbd3b),2016-10-07T17:00:18.000Z,"aylindemirci132@gmail.com","immowelt","www.immowelt.de/expose/2BDUL4M","normal",27.15,25,false,1,,4
ObjectID(58458ed851d6dab829bbbd59),2016-10-07T17:01:42.000Z,"stef.loguercio@gmail.com","immowelt","www.immowelt.de/expose/2BYZL4M","normal",27.25,25,false,1,,4
ObjectID(58458edf51d6dab829bbbd75),2016-10-07T17:03:20.000Z,"carsten.j.meier@gmail.com","immowelt","www.immowelt.de/expose/2BYZL4M","extreme",,,false,1,,4
ObjectID(58458ee451d6dab829bbbd89),2016-10-07T17:27:26.000Z,"ma03592@gmail.com","immowelt","www.immowelt.de/expose/2BDUL4M","normal",27.13,25,false,1,,4
ObjectID(58458eea51d6dab829bbbda3),2016-10-07T17:28:47.000Z,"danielbuschle2@gmail.com","immowelt","www.immowelt.de/expose/2BYZL4M","normal",27.08,25,false,1,,4
ObjectID(58469af951d6da4cdb613bd1),2016-09-16T16:32:34.000Z,"nina.c.weiss@gmail.com","immobilienscout","www.immobilienscout24.de/expose/88669361","normal",2871.82,180,false,1,,0
ObjectID(58469b1251d6da4cdb613c2b),2016-09-16T16:59:51.000Z,"ma03592@gmail.com","immobilienscout","www.immobilienscout24.de/expose/88669361","normal",27.28,25,false,1,,0
ObjectID(58469b2851d6da4cdb613c81),2016-09-16T17:27:36.000Z,"madameowicz@gmail.com","immobilienscout","www.immobilienscout24.de/expose/88669361","normal",27.75,25,false,1,,0
ObjectID(58469e2c51d6da4cdb6147d9),2016-09-24T06:38:42.000Z,"madameowicz@gmail.com","immobilienscout","www.immobilienscout24.de/expose/90451289","normal",,,false,1,,4
ObjectID(58469e3a51d6da4cdb614811),2016-09-24T06:57:30.000Z,"nina.c.weiss@gmail.com","immobilienscout","www.immobilienscout24.de/expose/90451289","normal",18.8,15,false,1,,4
ObjectID(58469e5351d6da4cdb614871),2016-09-24T07:22:29.000Z,"ma03592@gmail.com","immobilienscout","www.immobilienscout24.de/expose/90451289","normal",24.98,20,false,1,,4
ObjectID(58469e7251d6da4cdb6148eb),2016-09-24T16:38:26.000Z,"ma03592@gmail.com","immobilienscout","www.immobilienscout24.de/expose/90453753","normal",,,false,1,,4
ObjectID(58469e8851d6da4cdb614941),2016-09-24T17:03:48.000Z,"vittilauro@gmail.com","immobilienscout","www.immobilienscout24.de/expose/90453753","normal",25.37,25,false,1,,4
ObjectID(58469e9b51d6da4cdb614993),2016-09-24T17:28:16.000Z,"hanna.c.berg@gmail.com","immobilienscout","www.immobilienscout24.de/expose/90453753","normal",24.47,20,false,1,,4
ObjectID(5846a09851d6da4cdb6151b5),2016-09-30T16:33:42.000Z,"ma03592@gmail.com","immobilienscout","www.immobilienscout24.de/expose/69779303","normal",,,false,1,,4
ObjectID(5846a0b051d6da4cdb615217),2016-09-30T16:59:26.000Z,"madameowicz@gmail.com","immobilienscout","www.immobilienscout24.de/expose/69779303","normal",25.73,25,false,1,,4
ObjectID(5846a0c951d6da4cdb61527f),2016-09-30T17:25:03.000Z,"hanna.c.berg@gmail.com","immobilienscout","www.immobilienscout24.de/expose/69779303","normal",25.62,25,false,1,,4
ObjectID(584eab9a51d6da2cedcac654),2016-06-13T08:12:38.000Z,"aylindemirci132@gmail.com","immowelt","www.immowelt.de/expose/2ASKB48","normal",,,false,1,,4
ObjectID(584eaba651d6da2cedcac68a),2016-06-13T08:14:38.000Z,"madameowicz@gmail.com","immowelt","www.immowelt.de/expose/2A2MB48","normal",,,false,1,,4
ObjectID(584eabae51d6da2cedcac6ae),2016-06-13T08:53:29.000Z,"madameowicz@gmail.com","immowelt","www.immowelt.de/expose/2ASKB48","normal",40.85,40,false,1,,4
ObjectID(584eabb851d6da2cedcac6d8),2016-06-13T08:55:31.000Z,"aylindemirci132@gmail.com","immowelt","www.immowelt.de/expose/2A2MB48","normal",40.88,40,false,1,,4
ObjectID(584eabc151d6da2cedcac6fe),2016-06-13T09:24:43.000Z,"nina.c.weiss@gmail.com","immowelt","www.immowelt.de/expose/2ASKB48","normal",31.23,30,false,1,,4
ObjectID(584eabcb51d6da2cedcac728),2016-06-13T09:26:45.000Z,"hanna.c.berg@gmail.com","immowelt","www.immowelt.de/expose/2A2MB48","normal",31.23,30,false,1,,4
ObjectID(584eabe151d6da2cedcac786),2016-06-13T17:50:16.000Z,"madameowicz@gmail.com","immowelt","www.immowelt.de/expose/29CHJ4E","normal",,,false,1,,4
ObjectID(584eabf051d6da2cedcac7ce),2016-06-13T18:25:48.000Z,"aylindemirci132@gmail.com","immowelt","www.immowelt.de/expose/29CHJ4E","normal",35.53,35,false,1,,4
ObjectID(584eac0351d6da2cedcac826),2016-06-13T18:57:40.000Z,"hanna.c.berg@gmail.com","immowelt","www.immowelt.de/expose/29CHJ4E","normal",31.87,30,false,1,,4
ObjectID(584eac5a51d6da2cedcac9c2),2016-06-15T06:19:29.000Z,"janowski.miko@gmail.com","immowelt","www.immowelt.de/expose/2ALU749","normal",,,false,1,,4
ObjectID(584eac6051d6da2cedcac9de),2016-06-15T06:45:25.000Z,"ma03592@gmail.com","immowelt","www.immowelt.de/expose/2AWQ749","normal",,,false,1,,4
ObjectID(584eac6351d6da2cedcac9ec),2016-06-15T06:46:50.000Z,"stephanbraun19@gmail.com","immowelt","www.immowelt.de/expose/2ALU749","normal",27.35,25,false,1,,4
ObjectID(584eac7351d6da2cedcaca32),2016-06-15T07:19:52.000Z,"vittilauro@gmail.com","immowelt","www.immowelt.de/expose/2AWQ749","normal",34.45,30,false,1,,4
ObjectID(584eac7e51d6da2cedcaca62),2016-06-15T07:33:12.000Z,"hamit.k.yilmaz@gmail.com","immowelt","www.immowelt.de/expose/2ALU749","normal",46.37,45,false,1,,4
ObjectID(584eacc251d6da2cedcacb90),2016-06-17T06:53:59.000Z,"vittilauro@gmail.com","immowelt","www.immowelt.de/expose/2AP4X49","normal",6.37,5,true,,,4
ObjectID(584eacc351d6da2cedcacb92),2016-06-17T06:47:37.000Z,"vittilauro@gmail.com","immowelt","www.immowelt.de/expose/2AP4X49","normal",,,false,2,,4
ObjectID(584eacce51d6da2cedcacbc0),2016-06-17T07:18:41.000Z,"hanna.c.berg@gmail.com","immowelt","www.immowelt.de/expose/2AP4X49","normal",24.7,20,false,1,,4
ObjectID(584eace051d6da2cedcacc0e),2016-06-17T07:50:12.000Z,"madameowicz@gmail.com","immowelt","www.immowelt.de/expose/2AP4X49","normal",31.52,30,false,1,,4
ObjectID(584eaceb51d6da2cedcacc3e),2016-06-17T16:01:18.000Z,"danielbuschle2@gmail.com","immowelt","www.immowelt.de/expose/2AR9C4A","normal",,,false,1,,4
ObjectID(584eacec51d6da2cedcacc42),2016-06-17T16:01:18.000Z,"janowski.miko@gmail.com","immowelt","www.immowelt.de/expose/2AT2C4A","normal",,,false,1,,4
ObjectID(584eacf351d6da2cedcacc5c),2016-06-17T16:02:41.000Z,"aylindemirci132@gmail.com","immowelt","www.immowelt.de/expose/2A89C4A","normal",,,false,1,,4
ObjectID(584eacf551d6da2cedcacc66),2016-06-17T16:02:50.000Z,"ma03592@gmail.com","immowelt","www.immowelt.de/expose/2AZ8C4A","normal",,,false,1,,4
ObjectID(584eacfb51d6da2cedcacc7e),2016-06-17T16:03:44.000Z,"loviskuhn@gmail.com","immowelt","www.immowelt.de/expose/2AR9C4A","extreme",,,false,1,,4
ObjectID(584ead0051d6da2cedcacc92),2016-06-17T16:32:48.000Z,"ismailbhamed@gmail.com","immowelt","www.immowelt.de/expose/2AT2C4A","normal",31.5,30,false,1,,4
ObjectID(584ead0051d6da2cedcacc94),2016-06-17T16:32:51.000Z,"ismailbhamed@gmail.com","immowelt","www.immowelt.de/expose/2AR9C4A","normal",31.55,30,false,1,,4
ObjectID(584ead0751d6da2cedcaccac),2016-06-17T16:35:56.000Z,"carsten.j.meier@gmail.com","immowelt","www.immowelt.de/expose/2AR9C4A","extreme",,,false,1,,4
ObjectID(584ead0951d6da2cedcaccb8),2016-06-17T16:41:28.000Z,"nina.c.weiss@gmail.com","immowelt","www.immowelt.de/expose/2A89C4A","normal",38.78,35,false,1,,4
ObjectID(584ead0c51d6da2cedcaccc2),2016-06-17T16:41:38.000Z,"vittilauro@gmail.com","immowelt","www.immowelt.de/expose/2AZ8C4A","normal",38.8,35,false,1,,4
ObjectID(584ead1051d6da2cedcaccd8),2016-06-17T17:06:13.000Z,"danielbuschle2@gmail.com","immowelt","www.immowelt.de/expose/2AT2C4A","normal",33.42,30,false,1,,4
ObjectID(584ead1151d6da2cedcaccdc),2016-06-17T17:06:13.000Z,"stef.loguercio@gmail.com","immowelt","www.immowelt.de/expose/2AR9C4A","normal",33.37,30,false,1,,4
ObjectID(584ead1651d6da2cedcaccf6),2016-06-17T17:07:39.000Z,"ma03592@gmail.com","immowelt","www.immowelt.de/expose/2A89C4A","normal",26.18,25,false,1,,4
ObjectID(584ead1851d6da2cedcacd00),2016-06-17T17:07:50.000Z,"hanna.c.berg@gmail.com","immowelt","www.immowelt.de/expose/2AZ8C4A","normal",26.2,25,false,1,,4
ObjectID(584ead3851d6da2cedcacd90),2016-06-18T16:01:03.000Z,"stephanbraun19@gmail.com","immowelt","www.immowelt.de/expose/2ATBN4A","normal",,,false,1,,4
ObjectID(584ead4851d6da2cedcacdda),2016-06-18T16:31:33.000Z,"ismailbhamed@gmail.com","immowelt","www.immowelt.de/expose/2ATBN4A","normal",30.5,30,false,1,,4
ObjectID(584ead5451d6da2cedcace16),2016-06-18T17:01:42.000Z,"stef.loguercio@gmail.com","immowelt","www.immowelt.de/expose/2ATBN4A","normal",30.15,30,false,1,,4
ObjectID(584eb0e151d6da3014c17354),2016-06-21T16:01:30.000Z,"hamit.k.yilmaz@gmail.com","immowelt","www.immowelt.de/expose/2AR2H4B","normal",,,false,1,,1
ObjectID(584eb0e351d6da3014c1735a),2016-06-21T16:01:50.000Z,"vittilauro@gmail.com","immowelt","www.immowelt.de/expose/2A2KJ4B","normal",,,false,1,,4
ObjectID(584eb0ee51d6da3014c17380),2016-06-21T16:04:45.000Z,"loviskuhn@gmail.com","immowelt","www.immowelt.de/expose/2A2UE4B","extreme",,,false,1,,1
ObjectID(584eb0f051d6da3014c17384),2016-06-21T16:02:51.000Z,"hamit.k.yilmaz@gmail.com","immowelt","www.immowelt.de/expose/2ARDH4B","normal",,,false,3,,1
ObjectID(584eb0f051d6da3014c17386),2016-06-21T16:09:44.000Z,"hamit.k.yilmaz@gmail.com","immowelt","www.immowelt.de/expose/2ANTE4B","normal",7.5,5,true,,,1
ObjectID(584eb0f151d6da3014c17388),2016-06-21T16:04:27.000Z,"loviskuhn@gmail.com","immowelt","www.immowelt.de/expose/2AR2H4B","extreme",,,false,3,,1
ObjectID(584eb0f251d6da3014c1738a),2016-06-21T16:02:14.000Z,"hamit.k.yilmaz@gmail.com","immowelt","www.immowelt.de/expose/2ANTE4B","normal",,,false,3,,1
ObjectID(584eb0f251d6da3014c1738c),2016-06-21T16:10:14.000Z,"hamit.k.yilmaz@gmail.com","immowelt","www.immowelt.de/expose/2ARDH4B","normal",7.38,5,true,,,1
ObjectID(584eb0f351d6da3014c1738e),2016-06-21T16:10:35.000Z,"hanna.c.berg@gmail.com","immowelt","www.immowelt.de/expose/2AF6K4B","normal",7.02,5,true,,,1
ObjectID(584eb0f451d6da3014c17390),2016-06-21T16:04:26.000Z,"janowski.miko@gmail.com","immowelt","www.immowelt.de/expose/2A2UE4B","normal",,,false,3,,1
ObjectID(584eb0f551d6da3014c17392),2016-06-21T16:10:49.000Z,"ma03592@gmail.com","immowelt","www.immowelt.de/expose/2ADJ84B","normal",7.02,5,true,,,1
ObjectID(584eb0f551d6da3014c17394),2016-06-21T16:11:01.000Z,"janowski.miko@gmail.com","immowelt","www.immowelt.de/expose/2AHDK4B","normal",6.78,5,true,,,1
ObjectID(584eb0f651d6da3014c17396),2016-06-21T16:11:14.000Z,"janowski.miko@gmail.com","immowelt","www.immowelt.de/expose/2A2UE4B","normal",6.8,5,true,,,1
ObjectID(584eb0f751d6da3014c17398),2016-06-21T16:03:48.000Z,"ma03592@gmail.com","immowelt","www.immowelt.de/expose/2ADJ84B","normal",,,false,3,,1
ObjectID(584eb0f751d6da3014c1739a),2016-06-21T16:11:14.000Z,"loviskuhn@gmail.com","immowelt","www.immowelt.de/expose/2AR2H4B","extreme",,,true,,,1
ObjectID(584eb0f851d6da3014c1739c),2016-06-21T16:03:34.000Z,"hanna.c.berg@gmail.com","immowelt","www.immowelt.de/expose/2AF6K4B","normal",,,false,3,,1
